,lat,long,satellite,time_utc,date,source,provinsi,kab_kota,kec2006,desaa2006,nama_kaw
141,-3.2305099999999998,103.42,LPN-NPP,06:50:06 AM,2016-08-06,LAPAN,SUMATERA SELATAN,MUSIRAWAS,MUARA LAKITAN,PENDINGAN,
151,1.5687799999999998,101.48200000000001,LPN-NPP,18:37:13 PM,2016-08-09,LAPAN,RIAU,DUMAI,KECAMATAN BUKIT KAPUR,BUKIT DATUK,
152,1.56939,99.3602,LPN-NPP,18:37:13 PM,2016-08-09,LAPAN,SUMATERA UTARA,TAPANULI SELATAN,SIPIROK,SABA TARUTUNG,
156,1.5590700000000002,101.478,LPN-NPP,05:51:54 AM,2016-08-09,LAPAN,RIAU,DUMAI,KECAMATAN BUKIT KAPUR,BUKIT DATUK,
157,-2.8246599999999997,103.28399999999999,LPN-NPP,05:51:54 AM,2016-08-09,LAPAN,SUMATERA SELATAN,MUSIRAWAS,MUARA LAKITAN,PRABUMULIH II,
161,-0.9815200000000001,102.28,LPN-NPP,06:23:23 AM,2016-08-02,LAPAN,JAMBI,TEBO,SUMAY,PEMAYONGAN,
162,0.385506,100.279,LPN-NPP,06:23:23 AM,2016-08-02,LAPAN,SUMATERA BARAT,KOTA PASAMAN,MAPAT TUNGGUL,MUARO SUNGAI LOLO,
163,1.96202,99.6416,LPN-NPP,06:43:43 AM,2016-08-01,LAPAN,SUMATERA UTARA,PADANG LAWAS UTARA,DOLOK,SIMAMBAL,
170,0.150001,100.671,LPN-NPP,06:24:33 AM,2016-07-17,LAPAN,SUMATERA BARAT,LIMAPULUHKOTO,PANGKALAN KOTO BARU,PANGKALAN UTARA,
174,0.714403,102.85600000000001,LPN-NPP,18:18:20 PM,2016-05-06,LAPAN,RIAU,SIAK,KECAMATAN SUNGAI APIT,TELUK LANUS,
185,3.1697,98.3875,LPN-NPP,18:18:20 PM,2016-05-06,LAPAN,SUMATERA UTARA,KARO,SIMPANG EMPAT,SIGARANG GARANG,
190,3.74597,98.4116,LPN-NPP,06:31:13 AM,2016-05-03,LAPAN,SUMATERA UTARA,LANGKAT,WAMPU,STABAT LAMA,
204,-2.9172,101.54700000000001,LPN-NPP,06:17:01 AM,2016-04-23,LAPAN,BENGKULU,MUKO-MUKO,PUTRI HIJAU,HUTAN,
209,-2.71956,103.779,LPN-NPP,05:58:19 AM,2016-05-10,LAPAN,SUMATERA SELATAN,MUSIBANYUASIN,BATANGHARI LEKO,TANAH ABANG,
210,-4.15494,102.73100000000001,LPN-NPP,06:30:00 AM,2016-05-19,LAPAN,BENGKULU,SELUMA,TALO,SERAMBI GUNUNG,
222,-1.0572,101.859,LPN-NPP,06:30:00 AM,2016-05-19,LAPAN,JAMBI,TEBO,VII KOTO,PUCUK JAMBI,
228,3.16877,98.3936,LPN-NPP,18:18:20 PM,2016-05-06,LAPAN,SUMATERA UTARA,KARO,SIMPANG EMPAT,SIGARANG GARANG,
230,0.715685,102.86,LPN-NPP,18:37:15 PM,2016-05-05,LAPAN,RIAU,SIAK,KECAMATAN SUNGAI APIT,TELUK LANUS,
245,3.16804,98.3906,LPN-NPP,18:25:53 PM,2016-04-25,LAPAN,SUMATERA UTARA,KARO,SIMPANG EMPAT,SIGARANG GARANG,
251,3.16887,98.3942,LPN-NPP,18:43:23 PM,2016-04-24,LAPAN,SUMATERA UTARA,KARO,SIMPANG EMPAT,SIGARANG GARANG,
259,1.26625,102.042,LPN-NPP,18:18:06 PM,2016-04-20,LAPAN,RIAU,BENGKALIS,KECAMATAN SIAK KECIL,SEJANGAT,
264,1.6485299999999998,100.884,LPN-NPP,06:24:35 AM,2016-04-12,LAPAN,RIAU,ROKAN HILIR,KECAMATAN BANGKO PUSAKO,SUNGAI MENASIB,
267,-2.74571,103.831,LPN-NPP,05:51:13 AM,2016-06-22,LAPAN,SUMATERA SELATAN,MUSIBANYUASIN,SEKAYU,BANDAR JAYA,
271,2.10518,100.539,LPN-NPP,06:16:46 AM,2016-07-12,LAPAN,RIAU,ROKAN HILIR,KECAMATAN KUBU,TELUK PIYAI,
273,0.348432,100.34100000000001,LPN-NPP,06:36:52 AM,2016-06-25,LAPAN,SUMATERA BARAT,LIMAPULUHKOTO,KAPUR SEMBILAN,II KOTO GELUGUR,
274,1.1148799999999999,99.869,LPN-NPP,06:36:52 AM,2016-06-25,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN,PGR BARINGIN,
275,-4.68888,105.194,LPN-NPP,06:36:52 AM,2016-06-25,LAPAN,LAMPUNG,TULANG BAWANG BARAT,TUMI JAJAR,GUNUNG MENANTI,
276,-3.77969,104.211,LPN-NPP,06:36:52 AM,2016-06-25,LAPAN,SUMATERA SELATAN,MUARAENIM,LUBAI,KARANG AGUNG,
277,-4.6889400000000006,105.19200000000001,LPN-NPP,06:36:52 AM,2016-06-25,LAPAN,LAMPUNG,TULANG BAWANG BARAT,TUMI JAJAR,MARGO DADI,
278,1.12059,99.5928,LPN-NPP,06:36:52 AM,2016-06-25,LAPAN,SUMATERA UTARA,PADANG LAWAS,SOSOPAN,HUTA BARGOT,
279,4.29841,97.1668,LPN-NPP,06:36:52 AM,2016-06-25,LAPAN,ACEH,ACEH TENGAH,LINGE ISAQ,LUMUT,TB LINGGA ISAQ
280,0.6850350000000001,100.038,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,SUMATERA BARAT,KOTA PASAMAN,RAO,KOTO RAJO,
