Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
2.95562,116.484,LPN-NPP,05:01:46 AM,20160902,LAPAN,KALIMANTAN UTARA,MALINAU,MALINAU,LANGAP,
2.99793,116.489,LPN-NPP,05:01:46 AM,20160902,LAPAN,KALIMANTAN UTARA,MALINAU,MALINAU,LANGAP,
3.17916,116.455,LPN-NPP,05:01:46 AM,20160902,LAPAN,KALIMANTAN UTARA,MALINAU,MALINAU,PUNAN GONG SULOK,
4.0034,116.227,LPN-NPP,05:01:46 AM,20160902,LAPAN,KALIMANTAN UTARA,MALINAU,MENTARANG,LEBASAN,
2.26777,116.812,LPN-NPP,05:01:46 AM,20160902,LAPAN,KALIMANTAN TIMUR,BERAU,SEGAH,PUNAN SEGAH,
2.56928,115.835,LPN-NPP,05:01:46 AM,20160902,LAPAN,KALIMANTAN UTARA,MALINAU,PUJUNGAN,LONG APAN BARU,
2.87112,116.867,LPN-NPP,05:01:46 AM,20160902,LAPAN,KALIMANTAN UTARA,BULUNGAN,PESO,LEPAKARU,
2.54258,115.664,LPN-NPP,05:19:16 AM,20160901,LAPAN,KALIMANTAN UTARA,MALINAU,PUJUNGAN,LONG KETAMAN,TN KAYAN MENTARANG
2.58227,115.777,LPN-NPP,05:19:16 AM,20160901,LAPAN,KALIMANTAN UTARA,MALINAU,PUJUNGAN,LONG APAN BARU,
0.996939,112.814,LPN-NPP,05:19:16 AM,20160901,LAPAN,KALIMANTAN BARAT,KAPUAS HULU,EMBALOH HILIR,NANGA AWIN,
0.769815,116.356,LPN-NPP,05:19:16 AM,20160901,LAPAN,KALIMANTAN TIMUR,KUTAI TIMUR,MUARA ANCALONG,LONG BENTUK,
-10.0216,124.085,LPN-NPP,05:19:16 AM,20160901,LAPAN,NUSA TENGGARA TIMUR,KUPANG,FATULEU,SILLU,
0.443128,116.066,LPN-NPP,05:19:16 AM,20160901,LAPAN,KALIMANTAN TIMUR,KUTAI KARTANEGARA,TABANG,LONG LALANG,
2.57382,115.77,LPN-NPP,05:19:16 AM,20160901,LAPAN,KALIMANTAN UTARA,MALINAU,PUJUNGAN,LONG APAN BARU,
-3.1542,103.88,LPN-NPP,05:38:10 AM,20160831,LAPAN,SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,TALANG UBI,KOTA BARU,
1.90955,109.37,LPN-NPP,05:38:10 AM,20160831,LAPAN,KALIMANTAN BARAT,SAMBAS,PALOH,SEBUBUS,
-0.749527,112.263,LPN-NPP,05:38:10 AM,20160831,LAPAN,KALIMANTAN TENGAH,KATINGAN,KATINGAN HULU,KIHAM BATANG,
-0.539953,110.169,LPN-NPP,05:38:10 AM,20160831,LAPAN,KALIMANTAN BARAT,KETAPANG,SIMPANG HULU,SEKUCING LABAI,
-1.78113,114.254,LPN-NPP,05:38:10 AM,20160831,LAPAN,KALIMANTAN TENGAH,KAPUAS,MANTANGAI,LAHEI MANGKUTUP,
0.627523,110.924,LPN-NPP,05:57:06 AM,20160830,LAPAN,KALIMANTAN BARAT,SANGGAU,JANGKANG,KETORI,
-7.1297,131.914,LPN-NPP,04:18:57 AM,20160830,LAPAN,MALUKU,MALUKU TENGGARA BARAT,TANIMBAR UTARA,KELAAN,
1.24912,100.78,LPN-NPP,17:58:11 PM,20160827,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,KEPENUHAN HILIR,
